dataset_slug,dataset_name,task_name,fold,problem_type,num_trials,sample_size,seed,train_metric_error,val_metric_error,test_metric_error,train_rows,val_rows,test_rows,model_train_seconds,run_seconds,status,hf_found,hf_dataset_name,hf_method,hf_metric_name,hf_metric_error,hf_delta_local_minus_hf,hf_local_rank,hf_total_methods,hf_best_metric_error
airfoil-self-noise,tabarena-airfoil-self-noise,fold-1,1,regression,1,50000,42,2.202358662451109,2.598672240884772,2.674028975116071,801,201,501,0.8757376670837402,2.2941904067993164,ok,True,airfoil_self_noise,GBM (default),rmse,1.4717427390860092,1.2022862360300617,40,45,1.0728942273125233
airfoil-self-noise,tabarena-airfoil-self-noise,fold-3,3,regression,1,50000,42,1.2144654979840082,1.9241071714357287,2.009831020132326,801,201,501,0.9774444103240968,2.2661702632904053,ok,True,airfoil_self_noise,GBM (default),rmse,1.5332980147541346,0.4765330053781915,39,45,1.028173689596162
airfoil-self-noise,tabarena-airfoil-self-noise,fold-5,5,regression,1,50000,42,2.1876544861260365,2.6955904570040574,2.8330390728836514,801,201,501,0.4913437366485595,1.7767863273620603,ok,True,airfoil_self_noise,GBM (default),rmse,1.6209394827922323,1.212099590091419,40,45,1.215976608556744
airfoil-self-noise,tabarena-airfoil-self-noise,fold-7,7,regression,1,50000,42,2.1612235650648475,2.6854508597430016,2.7423745901809284,801,201,501,0.6231555938720703,1.9016308784484863,ok,True,airfoil_self_noise,GBM (default),rmse,1.648461338945206,1.0939132512357224,40,45,1.3060846977269098
airfoil-self-noise,tabarena-airfoil-self-noise,fold-9,9,regression,1,50000,42,3.4448220692229428,3.739322904439378,3.6398783166963327,801,201,501,0.5640418529510498,1.9083797931671145,ok,True,airfoil_self_noise,GBM (default),rmse,1.4470224713896538,2.1928558453066787,40,45,0.9329625227148106
airfoil-self-noise,tabarena-airfoil-self-noise,fold-11,11,regression,1,50000,42,5.213439087680597,5.3928680859857945,5.585370872222787,801,201,501,0.2604603767395019,1.6645855903625488,ok,True,airfoil_self_noise,GBM (default),rmse,1.6306886673820544,3.954682204840732,45,45,1.12828060296917
airfoil-self-noise,tabarena-airfoil-self-noise,fold-13,13,regression,1,50000,42,1.914232184829603,2.641447312467702,2.417010705872176,801,201,501,1.284518480300903,2.607313871383667,ok,True,airfoil_self_noise,GBM (default),rmse,1.5838342840816495,0.8331764217905264,40,45,1.0893447248399777
airfoil-self-noise,tabarena-airfoil-self-noise,fold-15,15,regression,1,50000,42,4.272301535190122,4.75534987528918,4.625334134781462,801,201,501,1.1746268272399902,2.531980276107788,ok,True,airfoil_self_noise,GBM (default),rmse,1.6008692089226382,3.024464925858824,40,45,1.133741581298553
airfoil-self-noise,tabarena-airfoil-self-noise,fold-17,17,regression,1,50000,42,3.037843734647077,3.553587402130835,3.539490720902071,801,201,501,0.4700348377227783,1.7812767028808594,ok,True,airfoil_self_noise,GBM (default),rmse,1.567779435803561,1.97171128509851,40,45,0.9336311344035184
airfoil-self-noise,tabarena-airfoil-self-noise,fold-19,19,regression,1,50000,42,4.345543896197894,4.634933519529311,4.803413596052171,801,201,501,0.8936429023742676,2.236452341079712,ok,True,airfoil_self_noise,GBM (default),rmse,1.5281510335933304,3.275262562458841,40,45,0.9786571771458628
airfoil-self-noise,tabarena-airfoil-self-noise,fold-21,21,regression,1,50000,42,5.052372763299441,4.784889223270255,5.294857961600818,801,201,501,0.5209112167358398,1.7734827995300293,ok,True,airfoil_self_noise,GBM (default),rmse,1.401413231232579,3.893444730368239,43,45,0.942650475970968
airfoil-self-noise,tabarena-airfoil-self-noise,fold-23,23,regression,1,50000,42,2.8170806871567264,3.2290087750170318,3.0458536516939563,801,201,501,1.4854769706726074,2.8918607234954834,ok,True,airfoil_self_noise,GBM (default),rmse,1.699299515781381,1.3465541359125752,40,45,1.0949814652755565
airfoil-self-noise,tabarena-airfoil-self-noise,fold-25,25,regression,1,50000,42,4.693617186057156,5.243848751777314,4.956555258505424,801,201,501,0.3885684013366699,1.6737501621246338,ok,True,airfoil_self_noise,GBM (default),rmse,1.4967771632928113,3.459778095212613,42,45,1.0150818353544142
airfoil-self-noise,tabarena-airfoil-self-noise,fold-27,27,regression,1,50000,42,1.4477050830629774,2.034041502208316,2.2267143233100533,801,201,501,0.4115712642669678,1.862705945968628,ok,True,airfoil_self_noise,GBM (default),rmse,1.631816449925383,0.5948978733846699,39,45,1.141427455237724
airfoil-self-noise,tabarena-airfoil-self-noise,fold-29,29,regression,1,50000,42,2.504779692334413,3.1809460917867183,3.090982398591692,801,201,501,0.8694853782653809,2.205522298812866,ok,True,airfoil_self_noise,GBM (default),rmse,1.7057537046136333,1.3852286939780587,40,45,1.1293917000618183
amazon-employee-access,tabarena-amazon-employee-access,fold-1,1,binary_classification,1,50000,42,0.4058893496698509,0.4316748927852414,0.4346108926443038,17476,4370,10923,1.855273962020874,5.3551671504974365,ok,True,Amazon_employee_access,GBM (default),roc_auc,0.1466546595341388,0.287956233110165,45,45,0.1047241260336855
amazon-employee-access,tabarena-amazon-employee-access,fold-3,3,binary_classification,1,50000,42,0.3956298710901637,0.4398238864978048,0.4451673085367698,17476,4370,10923,4.700825929641724,8.24638295173645,ok,True,Amazon_employee_access,GBM (default),roc_auc,0.154097026528034,0.2910702820087357,45,45,0.113316723842512
amazon-employee-access,tabarena-amazon-employee-access,fold-5,5,binary_classification,1,50000,42,0.4286213630027184,0.4488326144080121,0.4487378657172641,17476,4370,10923,1.1209309101104736,4.959404230117798,ok,True,Amazon_employee_access,GBM (default),roc_auc,0.1713506571665001,0.277387208550764,45,45,0.1228595071519917
