dataset_slug,dataset_name,task_name,fold,problem_type,num_trials,sample_size,seed,train_metric_error,val_metric_error,test_metric_error,train_rows,val_rows,test_rows,model_train_seconds,run_seconds,status,hf_found,hf_dataset_name,hf_method,hf_metric_name,hf_metric_error,hf_delta_local_minus_hf,hf_local_rank,hf_total_methods,hf_best_metric_error
airfoil-self-noise,tabarena-airfoil-self-noise,fold-0,0,regression,1,50000,42,4.356776185360133,4.233379375815059,4.659530405881664,801,201,501,0.3399558067321777,1.6197996139526367,ok,True,airfoil_self_noise,GBM (default),rmse,1.48537141921174,3.1741589866699247,40,45,0.9148346227283912
airfoil-self-noise,tabarena-airfoil-self-noise,fold-2,2,regression,1,50000,42,4.643657527833457,5.212366040297117,5.1150558895696125,801,201,501,0.3293626308441162,1.5761549472808838,ok,True,airfoil_self_noise,GBM (default),rmse,1.6004814370861735,3.514574452483439,42,45,1.0424510584287758
airfoil-self-noise,tabarena-airfoil-self-noise,fold-4,4,regression,1,50000,42,6.333870718361901,6.25482270202547,5.951344857727121,801,201,501,0.3436076641082763,1.6466763019561768,ok,True,airfoil_self_noise,GBM (default),rmse,1.5199041817704546,4.431440675956667,45,45,0.9883040405079432
airfoil-self-noise,tabarena-airfoil-self-noise,fold-6,6,regression,1,50000,42,4.694808007763414,4.5434589860692185,4.891242241526418,801,201,501,0.4850082397460937,1.7356140613555908,ok,True,airfoil_self_noise,GBM (default),rmse,1.4903638999977191,3.4008783415286983,42,45,1.0902574093038035
airfoil-self-noise,tabarena-airfoil-self-noise,fold-8,8,regression,1,50000,42,1.84810659193957,2.773896570450095,2.362176835493091,801,201,501,0.5706677436828613,1.8660056591033936,ok,True,airfoil_self_noise,GBM (default),rmse,1.353589955770648,1.008586879722443,40,45,0.9285486147696846
airfoil-self-noise,tabarena-airfoil-self-noise,fold-10,10,regression,1,50000,42,4.527718310335642,5.030907761373221,4.500549736172631,801,201,501,0.0655996799468994,1.3992552757263184,ok,True,airfoil_self_noise,GBM (default),rmse,1.5409089879880646,2.959640748184566,42,45,1.0540866414068502
airfoil-self-noise,tabarena-airfoil-self-noise,fold-12,12,regression,1,50000,42,2.207996269877837,2.4702839083496326,2.8402712917823094,801,201,501,0.5735905170440674,2.026211738586426,ok,True,airfoil_self_noise,GBM (default),rmse,1.7006943404717818,1.1395769513105276,40,45,1.032568122722141
airfoil-self-noise,tabarena-airfoil-self-noise,fold-14,14,regression,1,50000,42,1.5269206004460534,2.3806641669797157,2.215238813006005,801,201,501,0.3446745872497558,1.619828224182129,ok,True,airfoil_self_noise,GBM (default),rmse,1.4714127989238883,0.7438260140821167,39,45,1.0765307709350374
airfoil-self-noise,tabarena-airfoil-self-noise,fold-16,16,regression,1,50000,42,4.476300258982862,4.917860115452956,4.518516639170502,801,201,501,1.256059646606445,2.573240041732788,ok,True,airfoil_self_noise,GBM (default),rmse,1.697611879617766,2.8209047595527363,40,45,1.0915502622412074
airfoil-self-noise,tabarena-airfoil-self-noise,fold-18,18,regression,1,50000,42,4.448199836755332,5.166972878948148,4.837837760114365,801,201,501,0.0820145606994628,1.4125688076019287,ok,True,airfoil_self_noise,GBM (default),rmse,1.6097512242890002,3.2280865358253648,42,45,1.0661763737141177
airfoil-self-noise,tabarena-airfoil-self-noise,fold-20,20,regression,1,50000,42,2.2918616872970348,2.9266067408638974,2.8573214055030287,801,201,501,1.6438782215118408,2.948288679122925,ok,True,airfoil_self_noise,GBM (default),rmse,1.4361773849472803,1.4211440205557484,40,45,1.0231700118834288
airfoil-self-noise,tabarena-airfoil-self-noise,fold-22,22,regression,1,50000,42,3.4452270061369243,3.886207671171822,3.974552508224381,801,201,501,0.9040720462799072,2.284368991851806,ok,True,airfoil_self_noise,GBM (default),rmse,1.4941470264508492,2.4804054817735324,40,45,1.1114469131535665
airfoil-self-noise,tabarena-airfoil-self-noise,fold-24,24,regression,1,50000,42,2.728298577215683,3.0589393053930274,3.303231663792304,801,201,501,1.9104232788085935,3.225863456726074,ok,True,airfoil_self_noise,GBM (default),rmse,1.6105723732293282,1.6926592905629758,40,45,1.1431634894100384
airfoil-self-noise,tabarena-airfoil-self-noise,fold-26,26,regression,1,50000,42,5.286737477402232,5.434200018218326,5.3143541557182985,801,201,501,0.6739752292633057,2.036925792694092,ok,True,airfoil_self_noise,GBM (default),rmse,1.57697472900351,3.7373794267147886,44,45,1.158504360163006
airfoil-self-noise,tabarena-airfoil-self-noise,fold-28,28,regression,1,50000,42,6.064921112434832,6.257621750548767,6.351590901420376,801,201,501,0.2387135028839111,1.5691032409667969,ok,True,airfoil_self_noise,GBM (default),rmse,1.4592213201261317,4.892369581294243,45,45,1.0202671180672895
amazon-employee-access,tabarena-amazon-employee-access,fold-0,0,binary_classification,1,50000,42,0.4415236309091677,0.4583170523069774,0.4590803196599217,17476,4370,10923,1.320906400680542,14.547988891601562,ok,True,Amazon_employee_access,GBM (default),roc_auc,0.1634030411235577,0.2956772785363639,45,45,0.1230717758788864
amazon-employee-access,tabarena-amazon-employee-access,fold-2,2,binary_classification,1,50000,42,0.3908609606505782,0.4391854462505316,0.4342851922985399,17476,4370,10923,5.167014360427856,8.7092604637146,ok,True,Amazon_employee_access,GBM (default),roc_auc,0.1556947265478071,0.2785904657507327,45,45,0.1082748784460748
amazon-employee-access,tabarena-amazon-employee-access,fold-4,4,binary_classification,1,50000,42,0.3931225140394949,0.4357925923650225,0.4335524527392129,17476,4370,10923,1.90796422958374,5.3829522132873535,ok,True,Amazon_employee_access,GBM (default),roc_auc,0.1484161378567237,0.2851363148824892,45,45,0.1125839340999693
amazon-employee-access,tabarena-amazon-employee-access,fold-6,6,binary_classification,1,50000,42,0.4176421450850245,0.412809223493449,0.4585774684528327,17476,4370,10923,1.259352445602417,4.723353147506714,ok,True,Amazon_employee_access,GBM (default),roc_auc,0.1682342873027802,0.2903431811500525,45,45,0.1200474422163153
amazon-employee-access,tabarena-amazon-employee-access,fold-8,8,binary_classification,1,50000,42,0.403659862977037,0.4474424467718444,0.4421957544019639,17476,4370,10923,2.233794689178467,5.71970009803772,ok,True,Amazon_employee_access,GBM (default),roc_auc,0.156686655704936,0.2855090986970279,45,45,0.1237984699634762
another-dataset-on-used-fiat-500,tabarena-another-dataset-on-used-fiat-500,fold-1,1,regression,1,50000,42,443.2922783124578,720.1493605563797,763.9173206246342,820,205,513,0.7727389335632324,2.1127188205718994,ok,True,Another-Dataset-on-used-Fiat-500,GBM (default),rmse,745.2317427602255,18.68557786440863,36,45,714.6702841954356
